25	0	25700	1	23000	241000	1
31	1	27400	4	26000	265000	1
38	2	24300	9	24000	242000	1
35	2	23700	7	23000	231000	1
42	2	25300	11	26000	256000	1
48	4	37500	14	39000	385000	1
37	2	33000	7	33000	328000	1
42	3	34400	10	35000	348000	1
40	2	31300	9	31000	314000	1
46	2	13300	14	14000	139000	0
33	2	35400	5	34000	348000	1
42	1	1500	12	2000	15000	0
30	1	31200	4	30000	302000	1
37	2	29700	8	29000	295000	1
42	2	14300	11	15000	145000	0
57	4	9900	21	13000	117000	0
44	2	16300	13	17000	167000	0
39	1	6900	10	7000	67000	0
27	1	21900	2	20000	205000	1
38	1	8500	10	8000	82000	0
49	3	21700	15	23000	227000	0
30	1	19500	4	18000	184000	1
29	0	2400	4	0	10000	0
51	3	11300	17	13000	124000	0
33	2	33000	5	32000	324000	1
44	3	25100	12	26000	256000	1
46	3	20500	14	22000	212000	0
47	3	33300	13	35000	342000	1
48	3	13800	15	15000	146000	0
45	2	4200	14	5000	46000	0
50	3	13500	17	15000	145000	0
38	2	22400	8	22000	222000	1
48	3	20900	15	22000	218000	1
50	3	8400	17	10000	94000	0
25	0	23100	1	20000	214000	1
40	2	21500	10	22000	215000	1
26	0	19700	1	17000	181000	1
45	2	10600	14	11000	111000	0
41	3	29400	10	30000	296000	1
54	4	24400	18	27000	260000	0
41	2	28600	10	29000	287000	1
31	1	19900	5	18000	189000	1
42	2	15000	11	15000	152000	0
44	2	7800	13	8000	81000	0
